iter	RMSE
0	0.6391290755
1	0.6201267724
2	0.6018722251
3	0.584176116
4	0.5668155343
5	0.5500929268
6	0.5338209167
7	0.5179942751
8	0.5027713847
9	0.4879555977
10	0.4737894199
11	0.4598590989
12	0.4462764963
13	0.4330774839
14	0.4204613111
15	0.4080709185
16	0.3961057104
17	0.3844036108
18	0.3731549786
19	0.3624400908
20	0.3518397459
21	0.3415353377
22	0.3314856833
23	0.3217915993
24	0.3124409826
25	0.3033871838
26	0.2945485593
27	0.2860114061
28	0.2777332565
29	0.2697080351
30	0.2619581312
31	0.2544074282
32	0.2470929575
33	0.2399946825
34	0.233150396
35	0.2264464511
36	0.2200189067
37	0.2138210324
38	0.2078430324
39	0.201993421
40	0.1963232139
41	0.1907390695
42	0.1853852695
43	0.1802209277
44	0.175242616
45	0.1703165108
46	0.1656164581
47	0.1610205715
48	0.1565670165
49	0.1522872658
50	0.1481308043
51	0.1440905779
52	0.1402338744
53	0.1364573879
54	0.1327965125
55	0.1292704205
56	0.1258479494
57	0.1225742741
58	0.1194131977
59	0.1162912228
60	0.1133602672
61	0.1105502094
62	0.107679351
63	0.1049734928
64	0.102395565
65	0.09987836106
66	0.09738293225
67	0.09501212531
68	0.09272415064
69	0.09047093788
70	0.08832600383
71	0.08623173174
72	0.08425525537
73	0.08230702191
74	0.08045521135
75	0.07863430112
76	0.07695811279
77	0.07525946401
78	0.07359312751
79	0.07206595694
80	0.07053815254
81	0.06907075662
82	0.06769920928
83	0.06632745234
84	0.06498473687
85	0.06374268618
86	0.06260328958
87	0.06142939108
88	0.06033773055
89	0.05929771581
90	0.05829402779
91	0.05729086192
92	0.05633000596
93	0.05545534001
94	0.05456078736
95	0.05370259156
96	0.05290394614
97	0.05213634914
98	0.05139825384
99	0.05069030086
100	0.04999886517
101	0.0493419188
102	0.04874979625
103	0.04818615561
104	0.04764865053
105	0.04710532037
106	0.04658797159
107	0.04607673105
108	0.04563206303
109	0.0451635725
110	0.04470920803
111	0.04427598077
112	0.0438949571
113	0.04356112008
114	0.04318334736
115	0.04284713836
116	0.04248517524
117	0.04217359454
118	0.04185471992
119	0.04156744436
120	0.04126305323
121	0.04097449874
122	0.04072144327
123	0.04047935869
124	0.04025602869
125	0.04003488502
126	0.03983657759
127	0.03962777969
128	0.0394277006
129	0.03925084482
130	0.03905402441
131	0.03884692763
132	0.03868307142
133	0.03853766122
134	0.0383981897
135	0.03826148451
136	0.03813397493
137	0.03802093467
138	0.03790721472
139	0.03779112468
140	0.03769900197
141	0.03756591609
142	0.0374699154
143	0.03736573719
144	0.03727939303
145	0.03717036893
146	0.03707379827
147	0.03696890704
148	0.03688132206
149	0.03678384477
150	0.03670996748
151	0.03660077539
152	0.03652468735
153	0.03645957326
154	0.03639306005
155	0.03632545873
156	0.03626008344
157	0.03619534899
158	0.03613246366
159	0.03610055652
160	0.03604680883
161	0.03600640386
162	0.03596584888
163	0.03592185566
164	0.03587181745
165	0.03583705017
166	0.03578258131
167	0.0356762775
168	0.03559052846
169	0.03555587409
170	0.03551278603
171	0.03549170995
172	0.03542521022
173	0.03537468863
174	0.03534915166
175	0.03532253147
176	0.03530580896
177	0.0351752211
178	0.03514262564
179	0.03512299841
180	0.03507439832
181	0.03501942401
182	0.03499572641
183	0.03497039464
184	0.03494937189
185	0.03493496354
186	0.03491894031
187	0.03489960718
188	0.03485475127
189	0.03481546105
190	0.03478936443
191	0.03477597169
192	0.03476705448
193	0.03474668488
194	0.03472298288
195	0.03470339213
196	0.03469491794
197	0.03467220688
198	0.03459061083
199	0.03455572306
200	0.03454030104
201	0.03448958542
202	0.03446352473
203	0.03445102693
204	0.03444359047
205	0.0344157872
206	0.03440782113
207	0.03440362199
208	0.03439020903
209	0.03437889002
210	0.03435892245
211	0.03435265025
212	0.03431872287
213	0.03431249214
214	0.03429442726
215	0.03428981449
216	0.03420998163
217	0.03420183849
218	0.03419073851
219	0.03417699842
220	0.0341494178
221	0.03404581784
222	0.03403606159
223	0.03402190272
224	0.03400924345
225	0.03398268044
226	0.03396918597
227	0.03396087884
228	0.03395503151
229	0.03393506347
230	0.03392449436
231	0.03391399383
232	0.03390922168
233	0.03390398651
234	0.03390171072
235	0.03385240443
236	0.03379532576
237	0.03377765333
238	0.03377254776
239	0.03376510816
240	0.0337596187
241	0.03375275966
242	0.03364686249
243	0.03362921457
244	0.03362733209
245	0.0336262992
246	0.03362232188
247	0.03352205134
248	0.03348188451
249	0.03347951848
250	0.0334766481
251	0.03337818053
252	0.03337454993
253	0.03336358066
254	0.03332820312
255	0.03332773408
256	0.03332101856
257	0.03331836273
258	0.03322817617
259	0.03322725099
260	0.03320109169
261	0.03320049876
262	0.03320036142
263	0.03315837313
264	0.03314352098
265	0.03313981327
266	0.03313397753
267	0.03313235721
268	0.03304590536
269	0.03303996146
270	0.03302312283
271	0.03301773977
272	0.03301740637
273	0.03301430097
274	0.03301393602
275	0.03301290861
276	0.03300390706
277	0.03297785986
278	0.03289364406
279	0.03289247373
280	0.03287759428
281	0.03287266163
282	0.03286582404
283	0.03285953492
284	0.03284080687
285	0.03283970592
286	0.0328182093
287	0.03281813391
288	0.03281016244
289	0.03275955103
290	0.03275464672
291	0.03275426827
292	0.03274399843
293	0.03274009488
294	0.03273948991
295	0.03273056849
296	0.03272988703
297	0.03268421676
298	0.03266231371
299	0.03264025494
300	0.03256924623
301	0.03256920738
302	0.03256833909
303	0.0325491255
304	0.03254878654
305	0.03254866388
306	0.03254725349
307	0.03254427731
308	0.03254391151
309	0.03248010585
310	0.03247855747
311	0.03241830704
312	0.03241301418
313	0.03241292596
314	0.03240022487
315	0.03239947048
316	0.03239522909
317	0.03235675096
318	0.03230102329
319	0.03230094837
320	0.03229577408
321	0.03228793138
322	0.0322782768
323	0.03226105842
324	0.03225996717
325	0.03225667988
326	0.0322354087
327	0.03216339477
328	0.03215131601
329	0.032151143
330	0.03214334036
331	0.03213037038
332	0.03211874364
333	0.03211417203
334	0.03211401254
335	0.03210053172
336	0.03209468587
337	0.0320879319
338	0.03207598418
339	0.03205553312
340	0.0320540247
341	0.03200399881
342	0.03200390788
343	0.0319932187
344	0.03196832156
345	0.03191361898
346	0.03190023467
347	0.03189174327
348	0.03189167271
349	0.03188735545
350	0.03188237898
351	0.03187419974
352	0.03187132776
353	0.03183051321
354	0.03181015871
355	0.03178488025
356	0.0317389819
357	0.03172602242
358	0.03170445584
359	0.03170279005
360	0.03170245496
361	0.03164883231
362	0.03163178004
363	0.03163139593
364	0.03162983878
365	0.03162545038
